id	taxonID	scientificName
wfo-0000531936	wfo-0000531936	Amphithalea spinosa (Harv.) A.L.Schutte
wfo-0000361428	wfo-0000361428	Lampranthus stanfordiae L.Bolus
wfo-0000547283	wfo-0000547283	Argyrolobium trifoliatum (Thunb.) Druce
wfo-0001293520	wfo-0001293520	Lithops bromfieldii L.Bolus
wfo-0000619120	wfo-0000619120	Conophytum subterraneum Smale & T.Jacobs
wfo-0001058638	wfo-0001058638	Argyrolobium adscendens (E.Mey.) Walp. ex Harms
wfo-0000170688	wfo-0000170688	Schotia brachypetala Sond.
wfo-0000172814	wfo-0000172814	Pterocarpus rotundifolius (Sond.) Druce subsp. rotundifolius
wfo-0000618812	wfo-0000618812	Conophytum jucundum (N.E.Br.) N.E.Br.
wfo-0000166850	wfo-0000166850	Dialium schlechteri Harms
wfo-0001206490	wfo-0001206490	Lepidozia pearsonii Spruce
wfo-0001056841	wfo-0001056841	Psoralea asarina (P.J.Bergius) T.M.Salter
wfo-0000212399	wfo-0000212399	Psoralea monophylla (L.) C.H.Stirt.
wfo-0001435892	wfo-0001435892	Mestoklema arboriforme (Burch.) N.E.Br. ex Glen
wfo-0001054986	wfo-0001054986	Psoralea tenuifolia L.
wfo-0001294483	wfo-0001294483	Jordaaniella cuprea (L.Bolus) H.E.K.Hartmann
wfo-0000196729	wfo-0000196729	Aeschynomene uniflora E.Mey. var. uniflora
wfo-0000173414	wfo-0000173414	Aeschynomene indica L.
wfo-0000599903	wfo-0000599903	Chasmatophyllum maninum L.Bolus
wfo-0000169498	wfo-0000169498	Prosopis pubescens Benth.
wfo-0001429040	wfo-0001429040	Guilandina bonduc L.
wfo-0001213022	wfo-0001213022	Telaranea redacta (Steph.) J.J.Engel & G.L.S.Merr.
wfo-0000208598	wfo-0000208598	Crotalaria pisicarpa Welw. ex Baker
wfo-0000433220	wfo-0000433220	Stoeberia frutescens (L.Bolus) Van Jaarsv.
wfo-0000207104	wfo-0000207104	Crotalaria barkae Schweinf.
wfo-0001147332	wfo-0001147332	Papillaria africana (Mull.Hal.) A.Jaeger
wfo-0000207930	wfo-0000207930	Crotalaria dura J.M.Wood & M.S.Evans
wfo-0000192433	wfo-0000192433	Elephantorrhiza burkei Benth.
wfo-0000210536	wfo-0000210536	Crotalaria orientalis Burtt Davy ex I.Verd.
wfo-0000179093	wfo-0000179093	Alistilus bechuanicus N.E.Br.
wfo-0000212650	wfo-0000212650	Lessertia physodes Eckl. & Zeyh.
wfo-0000191914	wfo-0000191914	Indigofera egens N.E.Br.
wfo-0000192089	wfo-0000192089	Indigofera filicaulis Eckl. & Zeyh.
wfo-0000748648	wfo-0000748648	Leobordea procumbens (Bolus) B.-E.van Wyk & Boatwr.
wfo-0000190519	wfo-0000190519	Indigofera atrata N.E.Br.
wfo-0000749697	wfo-0000749697	Leobordea decumbens (B.-E.van Wyk) B.-E.van Wyk & Boatwr.
wfo-0000194435	wfo-0000194435	Indigofera poliotes Eckl. & Zeyh.
wfo-0000194501	wfo-0000194501	Indigofera praticola Baker f.
wfo-0000211082	wfo-0000211082	Pearsonia sessilifolia (Harv.) Dummer
wfo-0000196001	wfo-0000196001	Indigofera trifolioides Baker f.
wfo-0000191631	wfo-0000191631	Indigofera platypoda E.Mey.
wfo-0000531927	wfo-0000531927	Amphithalea muraltioides (Benth.) A.L.Schutte
wfo-0000193761	wfo-0000193761	Indigofera mischocarpa Schltr.
wfo-0000211055	wfo-0000211055	Pearsonia cajanifolia subsp. cryptantha (Baker) Polhill
wfo-0000194190	wfo-0000194190	Indigofera oxytropis Benth. ex Harv.
wfo-0000374118	wfo-0000374118	Melolobium lampolobum (E.Mey.) Moteetee & B.-E.van Wyk
wfo-0000196667	wfo-0000196667	Indigofera thesioides Jarvie & C.H.Stirt.
wfo-0001425589	wfo-0001425589	Indigofera vicioides Jaub. & Spach subsp. vicioides
wfo-0000196764	wfo-0000196764	Amphithalea ericifolia (L.) Eckl. & Zeyh.
